"","firm_name","ticker.ticker","ticker.name","permno","naics2","naics3","naics4","dValue_CAPM","dValue_10CI","dValue_15CI","lobby","outlier","US_revenue_share","carbon_intensity"
"150","NORFOLK SOUTHERN","NSC","NORFOLK SOUTHERN CORP",64311,48,482,4821,1197978000.63293,1203483052.37922,1162294598.47257,9943571,0,NA,1.21700000762939
"151","NORTHEAST UTILITIES","ES","NORTHEAST UTILITIES",44206,22,221,2211,70848428.0777328,74019652.8750328,70018097.5201162,1484000,0,1,0
"152","NORTHWESTERN","NTHWQ","NORTHWESTERN CORP",90458,22,221,2211,23589445.2539624,24260125.0082336,23372078.1039564,80000,0,1,0
"153","NUCOR","NUE","NUCOR CORP",34817,33,331,3312,241308728.171157,233534052.216556,196158658.981703,2040000,0,1,1.05400002002716
"154","NYSE EURONEXT","NYX1","NYSE EURONEXT",91143,52,523,5232,92715869.2192013,83710343.4496033,67121761.39766,2230000,0,0.698157429695129,0.0740000009536743
"155","OCCIDENTAL PETROLEUM","OXY","OCCIDENTAL PETROLEUM CORP",34833,21,211,2111,-2333311540.60027,-2318095645.40385,-2471978578.27884,3984636,0,0.633724093437195,0.897000014781952
"156","OWENS ILLINOIS","","OWENS-ILLINOIS GROUP INC",77157,32,327,3272,139412265.667041,140486839.912392,123348816.327478,884000,0,NA,1.61300003528595
"157","PANASONIC","PCRFY","PANASONIC CORP",53727,33,334,3343,104228745.103599,105608118.961512,104553094.453844,1410000,0,0.0320803634822369,0.0799999982118607
"158","PATRIOT COAL","PCXCQ","PATRIOT COAL CORP",92346,21,212,2121,62825119.1058349,64171537.290029,57727194.7184572,2545000,0,1,0.897000014781952
"159","PEABODY ENERGY","BTU","PEABODY ENERGY CORP",88991,21,212,2121,153034542.719457,161154690.07623,117232412.984727,8550000,0,NA,0.897000014781952
"160","PEPCO HLDGS",NA,NA,23501,22,221,2211,-92269721.6767704,-89764954.4127472,-93622239.8820861,1865000,0,1,0
"161","PEPSICO","PEP","PEPSICO INC",13856,31,312,3121,2284702143.49824,2293590615.73688,2241679096.43273,6477500,0,0.524286925792694,0.0829999968409538
"162","PG&E","PCG","PG&E CORP",13688,22,221,2211,206433379.841925,215941682.558107,206049965.25905,49660000,0,1,0
"163","PINNACLE WEST CAPITAL","PNW","PINNACLE WEST CAPITAL CORP",27991,22,221,2211,-1733009.74941013,-108654.717578091,-4536928.60172557,1120000,0,1,0
"164","PLUM CREEK TIMBER","PCL","PLUM CREEK TIMBER CO INC",75592,11,113,1133,-97313644.9796282,-101183033.203118,-113231466.017746,1100000,0,1,0.145999997854233
"165","PNM RESOURCES","TXNM","PNM RESOURCES INC",55511,22,221,2211,-62065536.429633,-61240532.4780367,-63332130.1292404,650000,0,1,0
"166","PORTLAND GEN ELECTRIC",NA,NA,91204,22,221,2211,-20072720.3849965,-19687180.9689509,-21602255.9868504,495000,0,1,0
"167","POTLATCH","PCH","POTLATCHDELTIC CORP",49744,32,322,3221,-127374635.596845,-129111756.347392,-132164463.362451,170000,0,1,0.607999980449677
"168","PPG IND","PPG","PPG INDUSTRIES INC",22509,32,325,3255,274426557.792093,271311037.3824,250309707.030089,1536984,0,0.418335378170013,0.619000017642975
"169","PPL","AAAP","ADVANCED ACCELERATOR APPLICATIONS SA",22517,22,221,2211,-518920331.061875,-510327062.227699,-533356557.71066,1864000,0,0.90751451253891,0
"170","PRAXAIR","PX1","PRAXAIR INC",77768,32,325,3251,1103104056.31342,1090814574.91741,1055615431.94408,7e+05,0,0.400090247392654,0.619000017642975
"171","PROCTER & GAMBLE","PG","PROCTER & GAMBLE CO",18163,32,325,3256,7372435556.42523,7395466590.9043,7223764619.98603,6170891,0,0.38432389497757,0.619000017642975
"172","PROGRESS ENERGY","PGN1","PROGRESS ENERGY INC",23114,22,221,2211,-143602903.725539,-137615144.74011,-146087758.885433,2940000,0,1,0
"173","PRUDENTIAL FINANCIAL","PRU","PRUDENTIAL FINANCIAL INC",89258,52,524,5241,-180061599.561659,-233156350.91384,-274321601.436273,12700000,0,0.658732354640961,0.0740000009536743
"174","PUBLIC SERVICE ENTERPRISE","PEG","PUBLIC SERVICE ENTERPRISE GROUP INC",23712,22,221,2212,-36854639.5869627,-25457158.9759374,-45369188.5921651,4950000,0,1,0
"175","RENTECH","GRRF","CHINA GRENTECH CORP LTD",76978,21,211,2111,-18953865.4970645,-18470328.1545022,-19200165.1131479,40000,0,NA,0.897000014781952
"176","RES IN MOTION",NA,NA,86745,33,334,3342,1674344371.68183,1651333757.92584,1541623680.34855,2688794,0,0.603067398071289,0.0799999982118607
"177","RIO TINTO","RIO","RIO TINTO LTD",76221,21,212,2122,-137989729.430842,-141650294.69984,-157999901.854402,1313975,0,0.116659060120583,0.897000014781952
"178","ROYAL DUTCH SHELL","","Precidian ETFs Trust",90793,32,324,3241,402499272.165414,403449756.095048,394172681.057063,11120000,0,0.214636877179146,1.21000003814697
"179","SAFEWAY","SWY","SAFEWAY INC",76149,44,445,4451,584847300.470457,589306594.679437,582069651.813585,1180000,0,0.851806998252869,NA
"180","SANDRIDGE ENERGY","SD","SANDRIDGE ENERGY INC",92421,21,211,2111,-252898532.520997,-252091916.126967,-262368121.063691,1e+05,0,1,0.897000014781952
"181","SAP","BWMX","BETTERWARE DE MEXICO SAPI DE CV",89382,51,511,5112,-149168007.041373,-149418472.021554,-157532696.92214,2284956,0,0.256359666585922,0.0270000007003546
"182","SASOL","SSL","SASOL LTD",68866,21,211,2111,-86490020.317383,-86134421.1027922,-90973374.1135549,360000,0,NA,0.897000014781952
"183","SCANA","SCG","SCANA CORP",23085,22,221,2211,-28281486.7049516,-26380368.2441956,-31349283.882433,1300000,0,1,0
"184","SEMPRA ENERGY","SRE","SEMPRA ENERGY",86136,22,221,2212,192263430.30389,200219026.969066,188628103.444802,1570000,0,0.911989569664001,0
"185","SHAW","SHX","SHAW INDUSTRIES INC",80032,33,332,3329,-81458132.917891,-84912835.6383421,-95226627.462735,2340000,0,0.790729761123657,0.187999993562698
"186","SIEMENS","SIEGY","SIEMENS AKTIENGESELLSCHAFT",88935,22,221,2211,59475988.5333065,57936638.4437981,43775893.2800738,2790000,0,0.139381229877472,0
"187","SOLUTIA","SOA","SOLUTIA INC",92505,32,325,3251,39321439.2815294,37157440.1947271,32963203.9252331,181666,0,NA,0.619000017642975
"188","SONY","SONY","SONY GROUP CORP",51131,33,334,3343,171043550.361012,170928617.132967,166115158.213704,180000,0,0.151329800486565,0.0799999982118607
"189","SOUTHERN","ASFN","ATLANTIC SOUTHERN FINANCIAL GROUP INC",18411,22,221,2211,248872122.689506,268031060.176299,249337861.662459,13130000,0,1,0
"190","SOUTHWEST AIRLINES","LUV","SOUTHWEST AIRLINES CO",58683,48,481,4811,686529818.666312,684164544.784283,674734670.459818,320000,0,1,1.21700000762939
"191","SPECTRA ENERGY","SE1","SPECTRA ENERGY CORP",91650,22,221,2212,8688012.85506586,10033148.4009999,-13269141.7337046,1817587,0,0.342250406742096,0
"192","STARBUCKS","SBUX","STARBUCKS CORP",77702,72,722,7222,748057793.043667,746152688.964662,719455417.306982,730000,0,0.787599563598633,0.259999990463257
"193","SVB FINANCIAL","SIVBQ","SVB FINANCIAL GROUP",11786,52,522,5221,-211675100.85688,-214417441.575365,-217846559.311763,110000,0,NA,0.0740000009536743
"194","SYMANTEC","GEN","SYMANTEC CORP",75607,51,511,5112,73811302.5504845,73625756.1055241,48610182.272266,197000,0,0.493740320205688,0.0270000007003546
"195","TECO ENERGY","TE","TECO ENERGY INC",37161,22,221,2211,-123233184.464897,-122648295.988515,-127655827.117484,1300000,0,NA,0
"196","TEMPLE INLAND","TIN","TEMPLE INLAND INC",66114,32,322,3221,32136221.3842517,29457361.1537446,23293921.515176,140000,0,0.942315280437469,0.607999980449677
"197","TESORO","","Tesoro Thomas",37284,32,324,3241,-108214791.190438,-109140932.930983,-114139984.717849,853356,0,NA,1.21000003814697
"198","THERMO FISHER SCI","TMO","THERMO FISHER SCIENTIFIC INC",62092,33,339,3391,552148389.679504,560809062.018425,532772886.639419,755000,0,0.571722269058228,0.0729999989271164
"199","TIMKEN","TKR","TIMKEN CO",14795,33,332,3329,116150952.2552,115900642.157694,108289062.754138,712149,0,0.637553095817566,0.187999993562698
"200","TOYOTA MOTOR","TM","TOYOTA MOTOR CORP",76655,33,336,3361,153284684.819973,153480876.195046,148363074.108675,3462760,0,NA,0.100000001490116
"201","TRANSCANADA","","TRANSCANADA PIPELINES LTD",67774,48,486,4862,-76527112.6326457,-85056747.8362518,-113017825.909458,90000,0,0.119748882949352,1.21700000762939
"202","TYCO ELETRONICS",NA,NA,92157,33,334,3344,-343862789.619562,-351475872.945038,-381487758.688667,1518000,0,0.300894349813461,0.0799999982118607
"203","TYSON FOODS","TSN","TYSON FOODS INC",77730,31,311,3116,26601009.1567488,27459578.1472557,22629286.4884408,1268651,0,0.9650057554245,0.221000000834465
"204","UAL","AVC","AUDIO VISUAL SERVICES CORP",91103,48,481,4811,281472673.886796,278397491.656735,275444772.443914,2970000,0,0.6381756067276,1.21700000762939
"205","UIL HLDGS",NA,NA,53663,22,221,2211,-15806590.4163026,-15323012.9838197,-16211463.0205514,75000,0,1,0
"206","UNILEVER","UL","UNILEVER PLC",28302,31,311,3119,2274331493.83271,2268606111.97524,2232690875.18646,60000,0,NA,0.221000000834465
"207","UNION PACIFIC","UNP","UNION PACIFIC CORP",48725,48,482,4821,931253315.101578,930596262.819937,845631652.482247,7884749,0,1,1.21700000762939
"208","UNISOURCE ENERGY","UNS","UNISOURCE ENERGY CORP",48389,22,221,2211,-62127638.305678,-61767720.562081,-62666564.605222,150000,0,1,0
"209","UNITED PARCEL SERVICE","UPS","UNITED PARCEL SERVICE INC",87447,49,492,4922,-94439271.6221426,-93625582.6156691,-167312617.06645,11282322,0,0.750769257545471,1.21700000762939
"210","UNITED TECH",NA,NA,17830,33,336,3364,-316041989.411394,-331259843.730635,-450728002.353499,7980000,0,0.533303022384644,0.100000001490116
"211","US AIRWAYS","LCC","US AIRWAYS GROUP INC",90893,48,481,4811,99744801.6419619,99185572.7537615,97420630.0493876,2570000,0,0.780648589134216,1.21700000762939
"212","US GEOTHERMAL","HTM","US GEOTHERMAL INC",92636,22,221,2211,7362555.77659204,7522630.97813741,7205787.6742,90000,0,NA,0
"213","USA STEEL CORP",NA,NA,76644,33,331,3312,-4730012.89647241,-6090000.41512924,-32251707.4601992,4890000,0,NA,1.05400002002716
"214","USEC","HEWA","HEALTHWAREHOUSECOM INC",86233,21,212,2123,13332113.4539654,13966944.1754597,11918713.6830189,2890000,0,0.709623694419861,0.897000014781952
"215","VECTREN","VVC","VECTREN CORP",51633,22,221,2212,-11039810.8027206,-9502066.78124646,-12186012.1704235,150000,0,1,0
"216","VERIZON COMMUNICATION","VZ","VERIZON COMMUNICATIONS INC",65875,51,517,5171,2766530240.08602,2787829511.04126,2736088482.33772,2960000,0,1,0.0270000007003546
"217","VULCAN MATERIALS","VMC","VULCAN MATERIALS CO",15202,21,212,2123,70574538.8865309,68143236.8192913,52264644.3272203,190000,0,1,0.897000014781952
"218","WAL MART STORES","GJO","STRATS SM TRUST FOR WAL-MART STORES, INC. SECURITIES, SERIES 2005-4",55976,45,452,4529,-1324001065.98587,-1279730376.43479,-1449365886.97899,9340000,0,NA,NA
"219","WESTAR ENERGY","WR","WESTAR ENERGY INC",24053,22,221,2211,3596462.12235487,4535419.10173112,2247633.30192411,60000,0,1,0
"220","WEYERHAEUSER","WY","WEYERHAEUSER CO",39917,11,113,1133,-170683687.407893,-190416237.024831,-205679962.760258,3730000,0,0.693671524524689,0.145999997854233
"221","WILLIAMS","CWEI","CLAYTON WILLIAMS ENERGY INC",38156,48,486,4862,-689678496.417769,-684102198.418728,-716676243.25163,6010000,0,0.975566864013672,1.21700000762939
"222","WISCONSIN ENERGY","WEC","WISCONSIN ENERGY CORP",23536,22,221,2211,-140844728.951698,-139372919.876712,-143971411.898293,518290,0,1,0
"223","XCEL ENERGY","XEL","XCEL ENERGY INC",23931,22,221,2211,-215022350.930562,-211282170.747999,-218473541.228151,2580000,0,1,0
