Ticker,Company,Total GHG,NAICS
AA,ALCOA INC,9665558.4,331312.0
ABT,ABBOTT LABORTORIES,271109.0,325412.0
ADM,ARCHER DANIELS MIDLAND CO.,11145390.0,311222.0
AEE,AMEREN,58893386.0,221210.0
AEP,AMERICAN ELECTRIC POWER,112654854.5,221112.0
AES,AES CORPORATION,19935187.0,551112.0
AGU,AGRIUM U.S. INC,1198583.0,325311.0
AKS,AK STEEL CORPORATION,7723313.0,331111.0
AL,ALLIANT ENERGY CORPORATION,25816802.6,
ALB,ALBEMARLE CORPORATION,272861.0,325998.0
ALE,ALLETE,9559457.0,221121.0
ALEX,"ALEXANDER & BALDWIN, INC.",144968.0,483113.0
ALJ,ALON USA,698784.0,324110.0
AMGN,AMGEN INC,53803.0,325412.0
AMGP,"AMERICAN MIDSTREAM GP, LLC",747.16,
ANDE,"THE ANDERSONS, INC.",88463.0,424510.0
APA,APACHE CORPORATION,21316.5,211111.0
APC,ANADARKO PETROLEUM CORPORATION,1456476.24,211111.0
APD,"AIR PRODUCTS AND CHEMICALS, INC.",9905448.0,325120.0
APL,"ATLAS PIPELINE PARTNERS, L.P.",195185.0,486210.0
ARK,ARKEMA INC.,87842.0,525990.0
ASH,ASHLAND INC.,219844.0,453998.0
ASR,"AMERICAN SUGAR REFINING, INC.",332134.0,488119.0
ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,440505.0,331111.0
ATO,ATMOS ENERGY CORPORATION,35045.0,221210.0
AVA,AVISTA CORPORATION,6268.0,221122.0
AWC,ALUMINA LTD,303399.60000000003,331311.0
AWI,"ARMSTRONG WORLD INDUSTRIES, INC.",220161.0,326192.0
BA,THE BOEING COMPANY,126708.0,336411.0
BAK,"BRASKEM AMERICA, INC.",59666.0,
BAS,BASIC AMERICAN FOODS,84525.0,213112.0
BASF,BASF CORPORATION,7618084.0,
BAYN,BAYER CORPORATION,562543.0,
BBG,BILL BARRETT CORPORATION,128821.0,211111.0
BC,BRUNSWICK CORPORATION,28253.0,333618.0
