REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2010,Argos Cement LLC,1005458,4000 NORTHWEST COUNTY ROAD 235,29.690671,-82.582134,NEWBERRY,ALACHUA,FL,32669,Vulcan Materials Company (100%),526383,"C,H"
2010,Argos Cement LLC - Harleyville Plant,1002750,463 JUDGE STREET,33.226205,-80.452832,HARLEYVILLE,DORCHESTER,SC,29448,"Lafarge North America, Inc. (100%)",419750,"C,H"
2010,"Arizona Chemical Company, LLC",1002542,1201 West Lathrop Avenue,32.09786,-81.12113,Savannah,CHATHAM COUNTY,GA,31415,"Arizona Chemical Company, LLC (100%)",60020,C
2010,Arkansas Loop & Simpson Treating Plants,1001760,,37.0532,-107.7855,DURANGO,LA PLATA,CO,81303,Southern Ute Indian Tribe (51%); Kinder Morgan (49%),74565,C (Abbr)
2010,Arkema Inc.,1006415,2571 Fite Rd,35.27213,-89.97896,Memphis,SHELBY COUNTY,TN,38127,Arkema Inc (100%),20022,"C,PP"
2010,Arkoma,1004404,,34.63339,-96.17768,Coalgate,COAL,OK,74538,"MarkWest Energy Partners, L.P. (100%)",39234,C (Abbr)
2010,Arlington Compressor Station,1002772,1670 State Highway 13,41.682318,-106.11105,McFadden,ALBANY,WY,82083,"Kinder Morgan W2E Pipeline LLC (50%); COPREX LLC (25%); P&S Project I, LLC (25%)",40928,C
2010,Arlington Landfill,1002645,800 Mosier Valley Road,32.80776,-97.10376,Euless,TARRANT COUNTY,TX,76040,City of Arlington (100%),209742,"C,HH"
2010,Arlington Valley Energy Facility,1001399,39027 W ELLIOT ROAD,33.3417,-112.8897,ARLINGTON,Maricopa,AZ,85322,"LS Power Development, LLC (100%)",470639,"C,D"
2010,Armstrong Gas Plant,1004087,13072 FM 682,29.133889,-97.039161,Yoakum,LAVACA,TX,77995,"Enterprise Hydrocarbons, L.P. (100%)",186073,"C,NN"
2010,Armstrong Power Station,1007418,108 POWER PLANT ROAD,40.9289,-79.4658,ADRIAN,Armstrong,PA,16210,"Allegheny Energy (50%); FirstEnergy Generation, LLC (50%)",1576700,D
2010,"Armstrong Power, LLC",1005709,2313 STATE ROUTE 156,40.6383,-79.3503,SHELOCTA,Armstrong,PA,15774,"IPR-GDF SUEZ North America, Inc. (100%)",50560,D
2010,Armstrong World Industries Inc,1006883,4520 Broadway,32.77462,-83.6517,Macon,BIBB COUNTY,GA,31206,"Armstrong World Industries, Inc (100%)",92627,C
2010,Arnold Engineering Development Center,1003846,"100 Kindel Drive, Suite B-327",35.383056,-86.043611,Arnold AFB,COFFEE,TN,37389,,38144,C
2010,Arroyo Grande Production Facility,1002978,1821 PRICE CANYON ROAD,35.1814,-120.61965,SAN LUIS OBISPO,SAN LUIS OBISPO COUNTY,CA,93401,Plains Exploration & Production Company (100%),39188,C
2010,Arsenal Hill Power Plant,1001609,520 NORTH ALLEN,32.5181,-93.7611,SHREVEPORT,Caddo,LA,71101,American Electric Power (100%),576710,D
2010,Arthur Kill,1000759,4401 VICTORY BLVD,40.5915,-74.2027,Staten Island,Richmond,NY,10314,"NRG Energy, Inc (100%)",572485,"C,D"
2010,Arvada Generation Station,1004760,,44.693959,-105.9777508,Gillette,CAMPBELL,WY,82718,Basin Electric Power Cooperative (100%),1733,C
2010,Arvah B Hopkins,1007189,1125 GEDDIE ROAD,30.4522,-84.4,TALLAHASSEE,Leon,FL,32304,City of Tallahassee (100%),661849,"C,D"
2010,Asbury,1007311,21133 UPHILL LANE,37.3596,-94.5913,ASBURY,Jasper,MO,64832,The Empire District Electric Company (100%),1416359,D
2010,Ascend (Decatur Plant),1000158,1050 CHEMSTRAND AVENUE,34.6339,-87.0244,DECATUR,Morgan,AL,35601,"Ascend Performance Materials, LLC (100%)",503870,"C,P,PP"
2010,Ascend Performance Materials LLC,1004962,3000 Old Chemstrand Road,30.598192,-87.248807,Cantonment,ESCAMBIA COUNTY,FL,32533,Ascend Performance Materials LLC (100%),5485481,"C,E,P,V"
2010,Ash Grove Cement Company-LEAMINGTON,1002530,19090 West Highway 132,39.563527,-112.197061,Nephi,JUAB,UT,84648,Ash Grove Cement Company (100%),473851,"C,H"
2010,Asheville Steam Electric Plant,1007180,200 CP&L DRIVE,35.4714,-82.5431,ARDEN,Buncombe,NC,28704,"Progress Energy, Inc. (100%)",2404067,"C,D"
2010,Ashtabula,1006751,2133 Lake Road East,41.9086,-80.7697,ASHTABULA,Ashtabula,OH,44004,"FirstEnergy Generation, LLC (100%)",1037196,"C,D"
2010,Asphalt Hawaii Kalaeloa Asphalt Terminal,1004873,91-550 Malakole Street,21.31948,-158.116295,Kapolei,HONOLULU,HI,96707,Grace Pacific Corporation (70%); Jas W Glover Ltd (30%),2067,C
2010,Astoria Gas Turbine Power,1000132,31 01 20TH AVE,40.7864,-73.9133,ASTORIA,Queens,NY,11105,"NRG Energy, Inc (100%)",41358,"C,D"
2010,Astoria Generating Station,1007053,18-01 20TH AVE,40.7869,-73.9122,ASTORIA,Queens,NY,11105,"Astoria Generating Company, L.P. (100%)",1184540,"C,D"
2010,Athens,1002577,9375 Harner Rd.,39.24099,-82.12427,Athens,ATHENS COUNTY,OH,45701,"Texas Eastern Transmission, L.P. (100%)",65076,C
2010,Athens Generating Company,1000101,9300 U S HIGHWAY 9W,42.2728,-73.8492,ATHENS,Greene,NY,12015,MACH Gen (100%),2288949,D
2010,Athens-Hocking Reclamation Center Landfill,1011217,17970 Diamond Brick Road (Old U.S. Route 33),39.45634,-82.279142,Nelsonville,ATHENS COUNTY,OH,45764,,82508,HH
2010,Atkinson County - S.R. 50 MSW Landfill,1003450,64 Arthur Davis Jr. Drive,31.369779,-83.014653,Willachoochee,ATKINSON,GA,31650,Solid Waste Management Company of Atkinson County (100%),24600,HH
2010,"Atlantis, MMS Platform ID 02481, Complex ID 1223-1",1004233,,27.19545638,-90.02698449,Offshore,,LA,0,BP America Inc. (56%),190884,C
2010,Atmos Energy Corporation - APT Howard,1006523,5430 LBJ Freeway,32.92548,-96.81613,Dallas,DALLAS,TX,75240,Atmos Energy Corporation (100%),35045,C
2010,Attala Generating Plant,1007247,2500 ATTALA ROAD 4130,33.0142,-89.6758,SALLIS,Attala,MS,39160,Entergy Corporation (100%),590134,"C,D"
2010,Auburndale Peaker Energy Center,1000551,1651 WEST DERBY AVENUE,28.0534,-81.8059,AUBURNDALE,Polk,FL,33823,Calpine Corporation (100%),8711,D
2010,Aucilla Area Solid Waste Facility,1005810,1313 SW Greenville Hills Rd.,30.4607,-83.6085,Greenville,MADISON,FL,32331,Aucilla Area Solid Waste Facility (100%),38259,HH
2010,Audrain Power Plant,1001379,40897 HIGHWAY P,39.3092,-91.5369,VANDALIA,Audrain,MO,63382,Ameren (100%),36163,D
2010,Auriga Polymers Inc.,1001780,1550 Dewberry Road,35.027817,-81.87896,SPARTANBURG,SPARTANBURG,SC,29307,Auriga Polymers Inc. (100%),117144,C
2010,Aurora Generating Station,1001397,2909 NORTH EOLA ROAD,41.8151,-88.2265,AURORA,Dupage,IL,60504,"GenOn Energy, Inc (100%)",19164,"C,D"
2010,Avon Lake Power Plant,1000843,33570,41.5042,-82.05,AVON LAKE,Lorain,OH,44012,"GenOn Energy, Inc (100%)",2411362,"C,D"
2010,Axiall Corporation - Natrium Plant,1000254,"15696 Energy Road, State Route 2",39.7475,-80.8547,Proctor,Marshall,WV,26055,"PPG Industries, Inc. (100%)",791272,C (Abbr)
2010,"Axiall, Aberdeen",1003903,715 HIGHWAY 25 SOUTH,33.813472,-88.559444,ABERDEEN,MONROE COUNTY,MS,39730,Georgia Gulf Corporation (100%),59104,C
