Company,Total GHG,Matched
"Castleton energy center, llc",66673.0,None
New page holding corporation,484085.0,None
Caterpillar inc,82099.0,None
Snohomish county,31531.0,None
Marathon petroleum company lp,9237981.0,None
Catoosa county,21053.0,None
Cavendish america inc.,35256.0,None
Aes eastern energy lp,1728255.0,None
Cecil county board of commisioners,59779.0,None
Cogentrix energy llc,2066263.0,None
"Optim energy, llc  c/o competitive power ventures",435196.0,None
Lamar county regional solid waste authority,36516.0,None
Cedar rapids linn county solid waste agency,99132.0,None
City of corpus christi,277058.0,None
"Cellu tissue holdings, inc.",148933.0,None
Central disposal,24288.0,None
"Sarasota county, fl",190159.0,None
Waste services of bluegrass,54350.0,None
Central minnesota ethanol co-op,32774.0,None
Transalta centralia generation llc,9862998.0,None
"Enerprise field services, llc",443347.0,None
Genon energy inc.,7510032.0,None
"Associated electric cooperatie, inc.",463280.0,None
Centerpoint energy resources corp,507942.0,None
"Gip channelview acquisition partners,l.p.",2760386.4,None
Fortistar channelview llc,306709.60000000003,None
City of chanute,11703.0,None
"Powersouth energy cooperative, inc.",4727517.0,None
"Charleston clean energy, llc",125828.0,None
City of charleston,125828.0,None
Oglethorpe power corporation,1077166.0,None
Chautauqua county,64765.0,None
E.i. dupont nemours and company,127939.0,None
Cheney lime and cement company,327727.0,None
"Chevron phillips chemical company, lp",822770.0,None
Dyno nobel inc.,1036215.0,None
"Associated electric cooperative, inc.",15899082.0,None
Nv energy,8013011.6,Nv energy
"Chula vista energy center, llc",1030.0,None
"Mid kansas electric company, llc",358699.0,None
City of fulton,100.0,None
City water and light plant of the city of jonesboro,53617.0,None
"Akron energy systems, llc",101261.0,None
City of chandler,1720.0,None
City of charlottesville,17778.0,None
City of coffeyville municipal light & power,1207.0,None
City of greenville,57050.0,None
"City of irving, texas",82183.0,None
City of laredo,144134.0,None
"City of midland, texas",65236.0,None
City of nacodoches,64877.0,None
Elliott construction company,30595.0,None
City of palo alto,12514.0,None
City of pampa,27937.0,None
City of port arthur,121872.0,None
City of sacramento,3688.0,None
City of sallisaw,111058.0,None
City of spokane,101894.0,None
"City of thomasville, georgia",106603.0,None
City of victoria,166545.0,None
City of waco,68994.0,None
City of wichita falls,119705.0,None
City of winfield,61034.0,None
Nv energy,361496.0,Nv energy
"Exterran holdings, inc.",62136.0,None
Clayton county transportation and development department,84461.0,None
Taunton municipal lighting plant,60044.0,None
Cleveland clinic,60123.0,None
Ohio valley electric corporation,13519750.0,None
City of gloversville,50017.0,None
Old dominion electric cooperative,3257174.0,None
Chevron global power company,1335408.5,None
Edison mission energy company,1335408.5,None
"Coastal carolina clean power, llc",7527.0,None
Coastal regional solid waste management authority,104019.0,None
Coffeyville resources refining & marketing,888108.0,None
James river cogeneration company,700687.0,None
Big rivers electric corporation,10438247.0,None
"Gdf suez energy north america, inc.",3522493.0,None
City of columbia missouri,93850.0,None
Ameren energy generating company,6566980.010000001,None
City of columbia missouri,1068.75,None
"Inter-power/ahlcon partners, l.p.",976733.0,None
"Tyr energy, inc.",40590.0,None
"Kinder morgan energy partners, l.p.",163136.0,Kinder morgan energy partners lp
"Conagra foods, inc.",93254.0,None
Wisconsin electric power company,17411693.0,None
Marathon,83991.3,None
City of conroe,6297.0,None
"Alcan rolled products - ravenswood, llc",96422.0,None
"Veyance technologies, inc.",22667.0,None
Lafarge north america inc.,529038.0,None
"Transcanada energy usa, inc.",3641.0,None
"Crosstex north texas pipeline, lp",26443.0,None
"Cooper river partners, llc",49478.0,None
"Copano energy, l.l.c.",192883.0,None
"Copano energy, llc",37341.0,None
El paso electric company,1711544.0,El paso electric co
"Berkshire hathaway, inc.",542587.8,None
Cornell university,155773.0,None
Sabic innovative plastics holding us lp,620956.5,None
"Total holdings usa, inc.",193294.5,None
Sacramento municipal utility district financing authority,1404544.0,None
Calypso energy holdings llc,135527.44999999998,None
Nrg energy,1329983.0,None
Otter tail corporation,2248635.95,None
Northern municipal power agency,1051403.1,None
Northwestern corporation dba northwestern energy,876169.25,None
"Mdu resources group, inc.",350467.7,None
"Qep resources, inc.",203168.0,None
Crisp county board of commissioners,38825.0,None
"Millennium inorganic chemicals, inc.",460133.0,None
Exelon corporation,3902439.0,None
South carolina public service authority,23236610.0,None
Clarksdale public utilities,17864.0,None
Crow wing county,17239.0,None
Orlando utilities commission,5689054.0,None
City of alexandria,2954.0,None
Miami-dade county department of soild waste magement,263706.0,None
Daikin america inc.,50048.0,None
Dak americas llc,502885.0,None
"Lake area corn processors, llc",74117.0,None
Mohawk industries,93547.0,Mohawk industries
Neenah enterprises incorporated,34584.0,None
Dalton-whitfield regional solid waste management authority,142850.0,None
Development authority of the north country,53897.0,None
Dane county,58666.0,None
Dart capital dcc llc,35342.0,None
Dart container corporation,30529.92,None
Dart container of michigan llc,1272.08,None
Trustees of dartmough college,55062.0,None
Daviess county board of commissioners,25517.0,None
Day-glo color,2749.0,None
Delaware solid waste authority,82354.0,None
Augusta-richmond georgia,137943.0,None
District energy corporation,2058.0,None
"600 land, inc.",44395.0,None
American standard brands,118854.0,None
"Deffenbaugh industries, inc.",967990.0,None
"Defiance county, board of commissioners",62126.0,None
Del monte corporation,31307.0,None
Delaware county solid waste authority,119150.0,None
Delta solid waste management authority,37575.0,None
Deltech acquisition corporation,78277.0,None
World oil corp,67808.0,None
"Denco ii, llc",13051.0,None
City and county of denver,100553.0,None
Occidental petroleum company,63137.310000000005,Occidental petroleum corp
Des moines county regional solid waste commission,60113.0,None
Daimler north america corporation,46151.0,None
City of detroit,67075.0,None
City of detroit - board of water commissioners,130491.0,None
Valero energy corporation,21367666.0,None
"Tin inc., dba temple-inland",91088.0,None
Dicalite minerals corp,33307.0,None
Didion milling inc.,75663.0,None
"Digeronimo aggregates, llc",20826.0,None
"Energytransfer partners, l.p.",27104.0,Energy transfer partners l p
"Dcp midstream partners, lp",138761.6,D c p midstream partners lp
District energy st. paul,53560.0,None
Gdf suez energy na,126466.0,None
State of utah division of wildlife resources,86500.0,None
"The renco group, inc",157026.0,None
Domtar corporation,1383648.0,None
"Domtar paper company, llc.",234176.0,None
/ city of hastings nebraska,620255.0,None
Double c limited,101377.0,None
"County of douglas, ne",6110.0,None
Mustang fuel corporation,59843.0,None
City of dover,134681.0,None
Dow chemical company,126968.5,Dow chemical co
Dow corning corporation,221085.98,None
"Giant cement holding, inc.",953804.0,None
Whiting petroleum corporation,45320.0,None
"Dsm chemicals holding company, inc.",471557.0,None
Dte energy services,1256533.5,Key energy services
Dte energy company,2280.0,None
Regency energy partners lp,265690.0,Regency energy partners l p
Dubuque metropolitan area solid waste agency,72174.0,None
Duke university,107043.0,None
Dunn paper inc,36613.0,None
E.i. dupont denemours and company,76849.0,None
E.i. dupont de nemours and company,2743968.0,None
Duquesne university,584.0,None
Nan,85114.0,Astoria financial corp
Dutchess county resource recovery agency,44521.0,None
Dyno nobel inc,173694.0,None
City of springfield,3130726.0,None
Darling international inc.,91276.0,None
Northwestern energy corporation,26198.0,Southwestern energy co
Davidson county integrated solid waste management dept.,44522.0,None
"City of ames, ia",1257.0,None
City of austin,1487169.0,None
Massachusetts water resources authority,16665.0,None
City of gainesville/gainesville regional utilities,1640233.0,None
General motors llc,878524.0,None
Delaware city refining company,130016.0,None
Delek us holdings,455729.0,Delek u s holdings
"Centerpoint energy southeastern pipelines holding, llc",81263.5,None
"Spectra energy southeast supply header, llc",81263.5,None
"Enterprise hydrocarbons, lp",336788.0,None
"Delta air lines, inc.",52304.0,None
San diego gas and electric,1197061.0,None
Detroit renewable energy llc,162390.0,None
Hoover energy partners lp,114594.0,None
Equipower resources corp,1689360.0,None
Dixie chemical company,37740.0,None
Lafayette utilities system,398402.0,None
"Dogwood power management, llc",352480.0,None
"Domtar paper company, llc",190674.0,None
Domtar paper company llc,448526.0,None
Dougherty county board of commissioners,108490.0,None
Corning inc.,58545.5,None
Walton emc,27575.0,None
"Rogue valley properties, inc.",62108.0,None
"Wabash valley power association, inc.",2006362.74,None
City of duluth,69431.0,None
Performance fibers operations inc,30150.0,None
Solid waste authority of palm beach county,432928.0,None
E & j gallo winery,31207.0,None
"E energy adams, llc",82738.0,None
National grid generation llc,1583546.0,None
Eagle county solid waste and recycling,45817.0,None
Advanced disposal services,612797.0,None
Republic services inc,199772.0,None
East central solid waste commission,22247.0,None
Harsco,3910.0,None
"City of jacksonville, florida",88041.0,None
"East kansas agri-energy, llc",51747.0,None
"East penn manufacturing co., inc.",99765.0,None
Conocophillips company,9258356.68,None
"Wtg gas processing, l.p.",146194.0,None
"Lion copolymer, llc",61745.0,None
"City of birmingham, al",282640.0,None
Eastman chemical company,84410.0,Eastman chemical co
Rhodia inc.,69446.0,None
"Ecoelectrica, lp",1502064.0,None
Edgecombe county solid waste department,22308.0,None
Alon energy usa,207146.0,None
General electric company,3397225.0,Portland general electric co
"Egan hub storage, llc",47023.0,None
"East jordan iron works, inc.",55170.0,None
Eka chemicals inc,24888.0,None
Lsb industries,627624.0,None
"Lsb industries, inc.",582336.0,None
"Mid-american engergy holdings, co.",47034.0,None
Elementis plc,197300.0,None
Eli lilly and company,132874.0,None
Elkhart county landfill,6325.0,None
"Louis dreyfus commodities, llc.",69069.0,None
"Ellwood group, inc.",59195.0,None
Ellwood group inc.,64875.0,None
Ellwood group,29870.0,Hallwood group
Cimarex energy co.,29404.0,Cimarex energy co
Emory university,53280.0,None
Cliffs natural resources,3186305.0700000003,Cliffs natural resources
Arcelor mittal,157967.88,None
North chicago energy trust,43075.0,None
City of enid,67719.0,None
"Enkei america, inc.",25969.0,None
"Eog resources, inc.",271.0,None
Ep management corporation,54793.0,None
Ppl corporation,1059084.0,None
Lyondellbasell,510094.0,None
Lyondellbasell,285389.0,None
"Erachem comilog, inc.",28709.0,None
Eramet marietta inc.,140946.0,None
"Ergon, inc.",203660.5,None
Ergon inc.,206003.0,None
Erie county board of commissioners,37154.0,None
"Walter energy, inc.",172850.0,None
Erving industries,29017.0,None
City of escanaba,123842.0,None
Essroc cement company,464001.0,None
Essroc cement corporation,1289681.0,None
Polk county board of commissioners,143645.0,None
"Tristream energy, llc",90889.0,None
"Evonik stockhausen, llc",26356.0,None
Evonik degussa corporation,268317.0,None
Evonik goldschmidt corporation,141948.0,None
Strategic minerals corporation,10815.0,None
Exide technologies,113336.0,Exide technologies
Excide technologies,26613.0,Exide technologies
Packaging dynamics,101181.0,None
Exxon mobil oil corporation,10794723.0,None
Exxon mobil corporation,7560353.0,None
Exxonmobil corporation,2511106.0,None
Sunoco inc,103964.0,None
Phh,241847.44,None
"Ppg industries, inc.",2267319.75,None
Rs co gen,513925.81000000006,None
"Energy partners of delaware, ltd.",33687.0,None
The dayton power & light company,1286719.79,None
"Rentech, inc.",849507.0,None
"Enterprise south texas gathering, l.p.",25069.0,None
Eastern michigan university,35257.0,None
Baltimore county government,82981.0,None
Eastman chemical company,6598827.0,Eastman chemical co
Eastman chemical co,59938.0,Eastman chemical co
Eastman kodak company,1072279.0,Eastman kodak co
Ebensburg power company,644242.0,None
Lansing board of water & light,2963606.0,None
"Rhodia, inc.",39488.0,None
Edgewood energy llc,78258.0,None
Effingham county power,838558.0,None
"El cajon energy, lp",5143.0,None
Imperial irrigation district,351418.0,None
Dairland power cooperative,10310.0,None
El paso corporation,47376.0,None
"W.e. power, llc",3126460.4,None
Madison gas and electric,192598.8,None
Wisconsin public power inc.,192598.8,None
Owensboro municipal utilities,2600288.0,None
Elmwood park power llc,13831.0,None
J power usa development co ltd,161457.5,None
"Emerald performance materials, llc",46955.0,None
Emery oleochemicals llc,279394.0,None
"Aka energy group, llc",96227.0,None
The empire district electric co.,507942.0,None
Puget sound energy,1460706.0,None
Michigan south central power agency,418741.0,None
Bill barrett corporation,128821.0,Bill barrett corp
"Gdf suez energy north amarica, inc",580045.0,None
Seattle steam company llc,82695.0,None
Nustar energy lp,40852.0,Nustar energy l p
"Suez-degs of tuscola, llc",385028.0,None
"Equus power 1, lp",38166.0,None
Bunge north america,46193.5,None
Ergon,46193.5,None
"Tri-state generation and transmission association, inc.",2475767.0,None
"Escondido energy center, llc",850.0,None
"North american energy alliance, llc",765737.0,None
Essroc cement co,243992.0,None
Evraz inc. na,104141.0,None
Marathon oil corporation,72300.0,Marathon oil corp
Reenergy holdings,234089.0,None
Western minnesota municipal power agency-exira station,1995.0,None
"Red shield acquisition, llc.",52591.0,None
Wausau paper corp,384630.0,Wausau paper corp
Wausau paper corporation,233842.0,Wausau paper corp
Vectren corporation,2216460.0,None
Fayette county transfer station,9982.0,None
Chrysler group llc,462184.0,None
Wake county government,130450.0,None
Fibrek,37871.0,None
Kootenai county,60.0,None
Mid-american energy holdings co.,732855.0,None
Atlas holdings llc,9235.0,None
County of stanislaus,53393.0,None
"Bridgestone procurement holdings usa, inc.",92436.0,None
"Firestone polymers, llc",55829.0,None
E.i. dupont de nemours company,290331.0,None
"First quality tissue, llc",101371.0,None
City of fitchburg,38522.0,None
Fortistar methane group,38522.0,None
Pinetree power fitchburg,38522.0,None
Flakeboard america,47117.0,None
Flakeboard  america limited,43746.0,None
Flambeau river papers llc,53418.0,None
"Piramal glass usa, inc",40363.0,None
Flathead county solid waste,10070.0,None
"Koch industries, inc",4893577.0,None
"Project hawkeye, llc",179515.0,None
Florida gas transmission company,79300.0,None
Florida gas transmission company,687214.0,None
Florim usa inc.,34834.0,None
Fmc corporate,51200.0,None
Fmc corporation,1648024.0,None
J.m. smucker company,31310.0,None
County of san joaquin,192183.0,None
Ford county government,15950.0,None
Ford motor company,735276.0,None
"Deerfield production and refining, inc.",15984.0,None
Formosa plastics corporation usa,28456.0,None
"Formosa plastics corporation, usa",309404.0,None
"Formosa plastics corp, usa",3967250.0,None
Fpl energy lamar power,2703777.0,None
Fple forney llc,2703777.0,None
Wca waste corporation,181034.0,None
"Bannock county, idaho",46735.0,None
City of ft. smith,110699.0,None
Foster poultry farms,37904.0,None
"City of nashua, department of public works",24984.0,None
Franklin county solid waste department,12218.0,None
Franklin county,50830.0,None
County of franklin solid waste management authority,5761.0,None
Solid waste authority of central ohio,261319.0,None
Fred weber,241990.0,None
Frederick county department of public works,55963.0,None
Freeport-mcmoran copper and gold,88581.0,Freeport mcmoran copper & gold
Fresenius medical care north america,48642.0,None
"Pepsico, inc.",197184.0,None
Pepsico inc.,148364.0,None
Pepsico,49134.0,None
Front range energy,41289.0,None
"Union underwear company, inc dba fruit of the loom",38025.0,None
Fulton county department of solid waste,34429.0,None
"Fusion paperboard - connecticut, llc",91604.0,None
Central iowa power cooperative,283878.0,None
"Cemex construction materials atlantic, llc",375112.0,None
Madera disposal systems,17973.0,None
Municipality of fajardo,30584.0,None
Avant energy,152506.0,None
"Fauquier county, virginia",65323.0,None
"Felman production, inc.",129292.0,None
Fibrek u.s. inc.,54334.0,None
Fuel,146180.0,Biofuel energy corp
"Advanced bioenergy, llc",172664.0,None
Petrologistics,198937.0,None
"Cemex construction materials florida, llc - central power and lime, llc",731191.0,None
Florida state university,29225.0,None
"Buckeye technologies, inc.",198407.0,None
Mazda motor corporation,23795.0,None
"Constellation mystic power, llc",5335352.0,None
Town of babylon,45366.0,None
Millercoors llc,433347.0,None
"Fortistar north tonawanda, inc.",20224.0,None
The city of new york c/o dep bureau of wastewater treatment,16300.0,None
"Hoosier energy rec, inc.",7807079.0,None
Dayton power and light company,17401306.0,None
County of orange,819179.0,None
Atlantic power,324751.0,None
"Southwestern electric cooperative, inc.",2795.0,None
Freeport electric,31314.0,None
Village of freeport,31314.0,None
"Freeport mcmoran copper & gold, inc.",26083.0,Freeport mcmoran copper & gold
"Wellhead power gates, llc",9424.0,None
Colorado springs utilities,4180077.0,None
Fujifilm holdings america corporation,31823.0,None
Fulton county georgia,26732.0,None
Innovia films inc,42156.0,None
Futurefuel corporation,149775.0,None
Horsehead holding corp.,1356153.0,Horsehead holding corp
"Gallatin county, montana",25268.0,None
Gallia county commissioners,61546.0,None
E&j gallo winery inc.,131170.0,None
"Western refining, inc.",1294807.0,None
City of boston,23295.0,None
Garrett county general services department,42332.0,None
Gaston county government,60592.0,None
Suncoke energy,581093.0,None
"Gbc metals, llc",46592.0,None
"Dynamic offshore resources, llc",64880.0,None
Gcc america,494530.0,None
"Cemex,inc.",475500.0,None
"Gcc rio grande, inc.",456288.0,None
Gcc a,244863.0,None
General electric corporation,25454.0,Portland general electric co
City of modesto,21282.5,None
"County of stanislaus, ca",21282.5,None
Gelita north america inc.,25820.0,None
Genentech incorporated,37691.0,None
General electric aviation,64920.0,None
General mills,55625.0,General mills
Geneva nitrogen llc,76429.0,None
Municipality of anchorage,633861.0,None
Georgia pacific llc,520581.0,None
Nestle usa,36606.0,None
Gerdau ameristeel us inc,412187.0,None
"Gna financing, inc",34477.0,None
Gerdau ameristeel u.s. inc.,94591.0,None
Gerdau ameristeel us inc.,25884.0,None
Gerdau macsteel inc.,112636.0,None
Gerresheimer glass inc,32261.0,None
Apache corporation,21316.5,None
Procter & gamble,88768.0,None
City of glasgow,76450.0,None
Glaxosmithkline llc,34928.0,Glaxosmithkline plc
Global tungsten & powders corp.,50490.0,None
Ibm corporation,102926.0,None
"Globe specialty metals, inc.",667472.79,None
Globe specialty metals inc,475148.0,Globe specialty metals
Gloucester county improvement authority,213999.0,None
"Aes eastern energy,lp",269956.0,None
"Gm cereals properties, llc",41654.0,None
Crosstex ccng processing ltd.,40707.0,None
"Golden grain energy, llc",168967.0,None
Golden triangle energy,55151.0,None
Golden triangle regional solid waste management authority,152750.0,None
Golden valley electric association,608851.0,None
"Besse forest products, inc.",540.0,None
Goodrich corporation,25033.0,None
"Goodway refining, llc",9554.0,None
The goodyear tire & rubber company,534281.0,Goodyear tire & rubber co
"The goodyear tire & rubber company, inc.",47743.0,None
The goodyear tire & rubber co.,56556.0,Goodyear tire & rubber co
"The goodyear tire & rubber company, inc",47267.0,None
"Gopher resource, llc",60651.0,None
W.r. grace& co.-conn.,100396.0,None
W.r. grace & co.-conn.,141783.0,None
Graftech international ltd,25689.0,Graftech international ltd
Muscatine foods corporation,849253.0,None
"Granger associates, llc",95508.3,None
"Granite falls energy, llc",71694.0,None
"Grant county, washington",32601.0,None
"National oilwell varco, lp",19683.0,National oilwell varco
Graphic packaging holding company,564508.0,Graphic packaging holding co
"Graymont, inc.",3239089.0,None
Chemtura corporation,44023.0,None
Great river regional waste authority,44437.0,None
Greater lebanon refuse authority,24471.0,None
Grede holdings llc,28436.0,None
Grede llc,65474.0,None
"Dcp midstream partners, lp",40747.0,D c p midstream partners lp
Green bay packaging inc.,100795.0,None
"Green bay packaging, inc.",61174.0,None
Ineos usa llc,2718318.0,None
Green plains,169683.0,None
Green plains renewable energy inc,210385.0,Green plains renewable energy in
Green plains renewable energy inc.,166080.0,Green plains renewable energy in
Green plains renewable energy,77.0,Green plains renewable energy in
"Green plains renewable energy, inc.",431191.0,Green plains renewable energy in
Green valley chemical co.,58889.0,None
City of tyler,57738.0,None
Greif inc.,111788.0,None
"Sandridge energy, inc.",868477.0,None
"Griffin pipe products co., inc.",67968.0,None
Griffin pipe products,55449.0,None
"Glaxosmithkline, llc",6729.0,Glaxosmithkline plc
Guam power authority,692158.0,None
"Guardian energy, llc",157816.0,None
"Guardian industries, corp",102397.0,None
Guardian industries corp,365479.0,None
Guardian industries corp,58830.0,None
Guardian industries corp.,280335.0,None
Gulfport energy corp,35254.0,Gulfport energy corp
"Gwf power systems, l.p.",758566.0,None
Gwf power systems l.p.,190716.0,None
Sunflower electric power corporation,2701637.0,None
Northern star generation services,172971.0,None
City of gary,50422.0,None
Plains all american gp llc,80773.0,None
Geneva energy llc,39421.0,None
"Georgetown county, south carolina",26740.0,None
Tin inc. dba temple-inland,72901.0,None
"Gerdau ameristeel us, inc",45846.0,None
Gerdau special steel north america,53091.0,None
Texas municipal power agency,6767581.0,None
"Glanbia foods, inc.",35910.0,None
Glaxosmithkline,29563.0,None
"Montana-dakota utilities, co.",6150.0,None
National grid glenwood energy center,55976.0,None
"Db goal line, llc",91173.06,None
"Arroyo energy, lp",920.94,None
South beaumont farms,101503.0,None
"Gordon county, ga",86989.0,None
"Patriarch partners, llc",59598.0,None
Luminant generation company llc,305319.0,None
Grand island area solid waste agency,71423.0,None
Grand river dam authority,5756322.4,None
"Granite ridge energy, llc",1312809.0,None
American bituminous power partners,728492.0,None
"Graphic packaging international, inc.",121340.0,None
"Graphic packagine international, inc.",133324.0,None
Pennsylvania state department of corrections,53723.0,None
Iotc,19494.0,None
Western lime corporation,864357.0,None
"Veolia environnement north america operations, inc",825608.0,None
Invenergy investment company llc,240645.5,None
"Stark power generation i holdings, llc",240645.5,None
City of glendale - water and power,71201.0,None
Great lakes gas transmission limited partnership,719278.0,None
Statoil gulf of mexico llc,16433.5,None
"Total e and p usa, inc",11174.78,None
J-power usa development co. ltd,980374.0,None
"Nedak ethanol, llc",61559.0,None
"Biofuel energy, llc",358431.0,None
"Abengoa bioenergy us holding, inc",196493.0,None
"Abengoa bioenergy maple, llc",159070.0,None
Abengoa bioenergy corpopration,112700.0,None
"Aes eastern energy, lp",588360.0,None
Buckeye power company,32560.0,None
Greenwood county,25487.0,None
"Gregory power partners, lp",1629684.0,None
"Greif, inc",63415.0,None
Municipality of guaynabo,64133.0,None
Montgomery county division of solid waste services,78917.0,None
Loews corporation,1134121.0,None
City of atlanta,79426.0,None
Accuride corportion,55104.0,None
East kentucky power cooperative,11924721.0,None
University of texas at austin,223963.0,None
"Great point power hamakua holdings, llc",165992.0,None
City of hampton,129158.0,None
Hancock county landfill,84658.0,None
City of winston-salem,23999.0,None
Lehigh hanson inc.,1254307.0,None
"Casella waste systems, inc",2110.0,None
Harford county government,71684.0,None
St. mary parish government,92832.0,None
City of hastings,35635.0,None
"Sunoco, inc.",1689492.0,None
"Hawaii electric light company, inc.",466167.0,None
"Alexander & baldwin, inc.",144968.0,None
"Hawaiian electric company, inc.",3614261.0,None
"Hayes landfill, inc",64661.0,None
"Haynes international, inc.",55875.0,None
U. s. government,118406.0,None
Heartland corn products,164171.0,None
Henderson county,9034.0,None
Henrico county department of public works,39113.0,None
"Henry county, board of commissioners",30518.0,None
Chevron u.s.a. inc.,37490.0,None
Rc lonestar inc.,1423888.0699999998,None
Hercules cement holding company,5903.93,None
Ashland inc.,219844.0,None
"Heritage environmental services, llc.",1801.0,None
Sumitomo corporation of america,630506.5,None
"Hernando county, fl",48119.0,None
"Heron lake bioenergy, llc",160572.0,None
Hexcel corporation,55876.0,None
Momentive performance materials holdings llc,251497.0,None
City of hibbing,225632.0,None
High sierra limited,24385.0,None
Riverside county,46392.0,None
"Highwater ethanol, llc",76230.0,None
"Hill-lake gas storage, llc",30642.0,None
Fortistar,33496.0,None
Hillsborough county board of county commissioners,7208.0,None
Hilmar cheese company,68973.0,None
Lexington county public works department,29491.0,None
Henderson municipal power and light,2357185.0,None
Hoeganaes corporation,58765.0,None
City of toledo,63437.0,None
"Roche holdings, inc.",58070.0,None
", inc.",728309.0,None
Inc,415264.0,Abington bancorp inc pa
Inc,916794.0,Abington bancorp inc pa
Enbridge us inc.,34554.0,None
Southern minnesota beet sugar cooperative,469995.0,None
Frontier refining & marketing,2082637.0,None
Hollyfrontier corporation,2469943.0,None
Bae systems holdings inc.,134847.0,None
"Homeland energy solutions, llc",194927.0,None
American honda motor co inc,48295.0,None
Honeywell international incorporated,70797.0,None
Hormel foods corporation,71153.0,Hormel foods corp
Horry county solid waste authority,78703.0,None
Houston county board of commissioners,58103.0,None
Hp hood llc,25366.0,None
Hunt consolidated inc.,410940.0,None
"Hunt consolidated, inc.",31531.0,None
Noresco,25308.0,None
Precision castparts corporation,87531.0,Precision castparts corp
"Huntington ingalls industries, inc.",78582.0,None
Huntsman petrochemical llc,58337.0,None
Huntsman international llc,1366425.0,None
Cove landfill of bad axe inc,51286.0,None
"Huron real estate associates, llc.",46235.0,None
"Husker ag, llc",90267.0,None
"Hyundai motor manufacturing alabama, llc",31519.0,None
"Hall county, georgia",83049.0,None
United technologies corporation,190112.0,United technologies corp
City of hamilton,216054.0,None
"Gwf energy, llc",25459.0,None
Hanford l.p.,222948.0,None
"City of los angeles, department of water and power",2946516.0,None
Hardin county fiscal court,110347.0,None
"East texas electrical cooperative, inc.",37745.0,None
Northeast maryland waste disposal authority,69341.0,None
Chesapeake energy corporation,280560.0,Chesapeake energy corp
Northeast texas electric cooperative,245408.9,None
"East texas electric cooperative, inc.",200789.1,None
City of tucson,56353.0,None
Dco energy,41668.0,None
South jersey industries inc,41668.0,None
Connecticut resources recovery authority,380307.0,None
Hawkeye energy greenport,27731.0,None
"Great plains energy, inc.",7720239.0,None
"Lakeside energy, llc",5082.0,None
"Aer ny-gen, llc",1521.0,None
Kgen power corporation,799362.0,None
"Enterprise products operating, llc",923803.0,None
"Lea power partners, llc",1222977.0,None
Inc. - corporate office,731697.0,None
Hoosier energy,148641.0,None
Wabash valley power,148641.0,None
Hollingsworth & vose,38458.0,None
Keyspan gas east corporation,2857480.0,None
National grid generation llc,79764.0,None
Edison international,10172492.0,Edison international
"Kpaq industries, llc",49115.0,None
Ipr-gdf suez energy north america,629216.0,None
City of richland,37990.0,None
Oge energy corporation,19317614.21,None
Terrebonne parish consolidated government,124248.0,None
City of vineland,9955.0,None
Public service enterprise group incorporated,2187452.0,None
"Ugi energy services, inc.",176402.0,None
Northwestern corporation,2085.0,Northwestern corp
Hutchinson utilities commission,5132.0,None
Fairfax county government,80917.0,None
International automotive components,39766.0,None
Icl performance products lp,44269.0,None
Iesi corporation,660000.0,None
Progressive waste solutions ltd,47300.0,None
International flavors and fragrances inc.,29612.0,None
"Mgp ingredients, inc.",71421.5,None
"Seacor holdings, inc.",71421.5,None
State of illinois,31440.0,None
Imerys carbonates llc,32500.0,None
Imerys clays inc.,38403.0,None
Imerys clays inc,45861.0,None
"Indeck energy services, inc.",6008.0,None
"City of independence, missouri",62307.0,None
Indian river county,21193.0,None
Indiana university,184764.0,None
Corporation,191568.04,Alcoa
"Ineos nova, llc",322969.0,None
Meadwestvaco corporation,2171592.0,Meadwestvaco corp
"Ingomar packing company, llc",67.0,None
Penford corp,123991.0,None
Cowles publishing company,11402.0,None
Horsehead corporation,61292.0,None
Intel copororation,36061.0,None
Intel corporation,66500.0,None
International matex tank terminals,38691.0,None
Tube city ims,416.0,None
Temple inland,162880.0,Temple inland
International paper,4443472.0,International paper co
"The international group, inc.",159833.0,None
"Interstate resources, inc.",40266.0,None
"Intrepid potash, inc.",69925.0,None
"Intrepid potash, inc",11082.0,None
"Koch industries,inc.",123566.0,None
"Koch industries, inc.",88772.0,None
Loders croklaan usa llc,32871.0,None
City of iowa city,38273.0,None
Iowa ethanol llc d.b.a. poet biorefining - hanlontown,84347.0,None
Iowa state university,331111.0,None
Ipsco tubulars inc.,99398.0,None
Iredell county,86828.0,None
City of johnson city,67288.0,None
Pinal county,34206.0,None
Pinal county,34206.0,None
"Iroquois gas transmission system, lp",61216.0,None
Isolatek international,25901.0,None
Isp chemco llc,100046.0,None
Isp chemicals llc,107541.0,None
"International specialty products, inc.",30953.0,None
"The empire district electric, co",807918.84,None
"World minerals, inc.",54939.0,None
Indeck-corinth limited partnership,267106.0,None
Indeck energy services inc.,128058.0,None
Indeck-oswego limited partnership,4629.0,None
"Indeck energy services of silver springs, inc.",6179.0,None
Indeck-yerkes limited partnership,35093.0,None
Dynegy inc.,1404566.0,None
Suncoke energy,818994.0,None
Calypso energy holding llc,1517864.0,None
Diamond generating corporation,63808.0,None
"Corn prodcuts international, inc.",34576.0,None
Corn products international,1012486.0,Corn products international
"Inland empire energy center, llc",1312275.0,None
Intermountain power agency,12013257.0,None
Weyerhaeuser nr company,243444.0,None
Weyerhaeuser company,558064.0,Weyerhaeuser co
International paper company,1598552.0,International paper co
