Company,Total GHG,Matched
"Waste connections, inc.",2466844.0,None
Republic industries,105657.0,None
Cleco corporation,4077261.0,None
Entergy,613190.5,None
Gdf suez energy north america,1043065.0,None
Ada county solid waste management,165359.0,None
"Sid richardson carbon, ltd.",1021709.0,None
Sunoco inc. r&m,125943.0,None
Ameren,58893386.0,None
Public service company of new mexico,210945.0,None
Agra resources coop dba poet biorefining glenville,61483.0,None
Agrium u.s. inc.,169119.0,None
Salt river project,8212476.0,None
City of colton,16539.0,None
Trident seafoods corporation,36933.0,None
"Mohawk industries, inc",33390.0,None
Alamance county,103200.0,None
Albert einstein college of medicine,39444.0,None
"Firstenergy generation, llc",50121694.0,None
Monongahela power company,11672992.87,None
Connecticut municipal electric energy cooperative,4946.0,None
"Algonquin power windsor locks, llc",183880.0,None
"Iberdrola usa, inc.",29353.0,None
Allegheny energy,8931964.260000002,Allegheny energy
"Firstenergy generation, llc",8870208.37,None
"Xcel energy, inc.",36025439.0,None
"Allens, inc.",25410.0,None
Devon energy,908587.0,None
Dairyland power cooperative,4226287.0,None
Turlock irrigation district,27517.0,None
Alon usa,43296.0,None
Alphapet inc.,24607.0,None
Alstom grid inc,170.0,None
Veresen u.s. power inc.,138530.0,None
"Altair disposal services, llc",30362.0,None
Dominion resources inc,51198826.0,None
Anadarko petroleum corporation,1456476.24,Anadarko petroleum corp
Napa vallejo waste management authority,51676.0,None
American sugar refining inc.,118672.0,None
American sugar refining inc,87920.0,None
"City of ames, iowa",448698.0,None
Western farmers electric cooperative,3640078.0,None
City of anaheim,22519.0,None
Anchor glass container corporation,673388.0,None
"Progress energy, inc.",23618039.0,None
Indiana municipal power agency,3913.0,None
Waste connections inc.,555762.0,None
Garco energy llc,3611.0,None
Basin electric power cooperative,14267751.0,None
Arizona electric power cooperative,2281313.0,None
"Ls power development, llc",1986902.0,None
Appleton coated llc,155109.0,None
Gp,1710258.0,Zhongpin
"Markwest energy partners, l.p.",823052.0,Markwest energy partners lp
Southwest generation operating company,605897.0,None
Saint-gobain containers inc.,968552.0,None
Saint-gobain containers inc,98427.0,None
"Leone industries, inc.",53787.0,None
Municipality of arecibo,153540.0,None
Vulcan materials company,526383.0,Vulcan materials co
"Lafarge north america, inc.",6361022.0,None
Southern ute indian tribe,117800.31,None
Kinder morgan,113180.69,None
Arkema inc,20022.0,None
Kinder morgan w2e pipeline llc,361860.0,None
Coprex llc,180930.0,None
"P&s project i, llc",180930.0,None
City of arlington,209742.0,None
"Enterprise hydrocarbons, l.p.",234881.0,None
"Ipr-gdf suez north america, inc.",4327407.0,None
"Armstrong world industries, inc",92627.0,None
Plains exploration & production company,909831.0,Plains exploration & prod co
American electric power,112654854.5,American electric power co
"Nrg energy, inc",8341981.0,None
City of tallahassee,1215204.0,None
The empire district electric company,2108737.0,None
"Ascend performance materials, llc",503870.0,None
Grace pacific corporation,46819.9,None
Jas w glover ltd,620.1,None
"Astoria generating company, l.p.",1321149.0,None
"Texas eastern transmission, l.p.",1161652.0,None
Mach gen,2288949.0,None
Solid waste management company of atkinson county,24600.0,None
Bp america inc.,21162663.36,None
Atmos energy corporation,35045.0,Atmos energy corp
Entergy corporation,23154218.22,None
Calpine corporation,37113755.0,None
Aucilla area solid waste facility,38259.0,None
Auriga polymers inc.,117144.0,None
"Genon energy, inc",17758867.0,None
"Ppg industries, inc.",1417323.0,None
Georgia gulf corporation,1524206.0,Georgia gulf corp
B.braun medical inc.,53483.0,None
Cms energy,11727196.5,None
"Rc cape may holdings, llc",603884.0,None
Badger creek ltd,180623.0,None
Badger state ethanol,90534.0,None
County of riverside,42166.0,None
Energy transfer partners lp,831877.0,Energy transfer partners l p
City of bakersfield,9930.0,None
Baldwin county,124264.0,None
Ball state university,79489.0,None
"The williams companies, inc.",2881213.9,None
"Barrow utilities & electric cooperative, inc.",42689.0,None
San bernardino county - solid waste management division,145442.0,None
Bartholomew county solid waste management district,82449.0,None
Barton county,31744.0,None
Basf corporation,3756522.0,None
Basf corporation,52520.0,None
Basic american foods,84525.0,None
City of bath,17168.0,None
Page county,54446.0,None
Baxter international inc.,6695.0,None
"Bay county, florida",43856.0,None
"Treehouse foods, inc.",95956.0,None
Bayer corporation,535717.0,None
"Swift energy operating, llc",56416.0,None
South utah valley solid waste district,53956.0,None
"Aim midstream holdings, llc",36610.84,None
"American midstream gp, llc",747.16,None
Arcelormittal holdings llc,66465.0,None
"Thermal ventures ii, l.p.",100067.0,None
White birch paper company,73065.0,None
Bear mountain ltd.,188000.0,None
Exxonmobil corp,6726730.0,None
"Rumpke waste, inc.",224998.0,None
John sexton contractors,41049.0,None
"Waste management of illinois, inc.",41049.0,None
Bellefield boiler plant,83754.0,None
Wtg benedum joint venture,57563.0,None
Halliburton,79212.0,None
Berkeley county water and sanitation,86955.0,None
Beta offshore,44262.0,None
Council of dorchester county,16809.0,None
Montgomery county government,218300.0,None
Enviro solutions inc.,141488.0,None
"Alon usa energy, inc.",655488.0,None
Fj management inc.,246386.0,None
"Solid waste division, city of bllings, montana",483284.0,None
"Biogen idec, inc",35794.0,None
Kyowa hakko bio,26727.0,None
Newpage holding corporation,2501241.0,None
Black hawk county landfill,39070.0,None
Black warrior solid waste disposal authority,316671.0,None
Catawba county,52610.0,None
"Enterprise field services, llc",315016.0,None
Blandin paper company,22810.0,None
Occidential petroleum corporation,301065.3,Occidental petroleum corp
Blue heron paper company,85725.0,None
Blue island phenol llc,54029.0,None
"City of lincoln, nebraska",355096.0,None
"S.b. acquisitions, inc.",36838.0,None
Boise inc,179306.0,None
Boise paper holdings llc,100891.0,None
"Boise paper holdings, llc",179873.0,None
Boise inc.,178321.0,None
"Bonanza creek energy, inc.",24639.0,None
Bountiful city,45570.0,None
Town of bourne,29754.0,None
Husky energy inc.,645144.5,None
"Oneok partners, l.p.",975510.5,None
"Bradley county, tn",123624.0,None
"Braskem america, inc.",32586.0,None
"Braskem america, inc",27080.0,None
"Chesapeake midstream partners, lp",271186.0,None
Brevard county board of county commissioners,220046.0,None
"Bridgeport ethanol, llc",49810.0,None
"Bridgestone americas holding, inc.",26206.0,None
"Bridgestone americas, inc",54951.0,None
"Bridgestone americas tire operations, llc",48541.0,None
Brigham young university,53522.0,None
Oswego county department of solid waste,29334.0,None
"City of bristol, virginia",176166.0,None
City of broken arrow,2483.64,None
